templateId,solutionId,programId,role
601931f66ffa9c5e9d0b53f4,601931a98ef7cb5e1f70fad8,601429016a1ef53356b1d714,BDO
611663bf8c105a4efb113d23,6116633a9174bc4e6ee05f11,611661f09174bc4e6ee05f10,BDO
611664c68c105a4efb113d2f,611664839174bc4e6ee05f12,611661f09174bc4e6ee05f10,BDO
61232a1c45093c1d04f6fb5d,612329bb3519ac1c7f283fcb,60dacb6ff595770aafd6a8e6,BDO
612f5e45d1c7275965ab2fb0,612f5e1b76630258e022e9c7,6124984e5435a115cac9f120,BDO
613a1e2b7a95e705083fe584,613a1e1aabecd40480927beb,60a7b7c3538b2b70a1ae9438,BDO
6177e9e6b7270400075385a5,6177e7bf65117d0007668b1e,6172a6e58cf7b10007eefd21,BDO
6178f99cb727040007538728,6177ec9d65117d0007668b85,6172a6e58cf7b10007eefd21,BDO
6183a5de501c2f0008a37395,6183a58f90fe0d00078028bc,6172a6e58cf7b10007eefd21,BDO
619e215603eef60007434718,619e20bd06293200073ac073,607d320de9cce45e22ce90c0,BDO
61a4872e82ad8f000897c58f,61a486f906293200073ac4d1,607d320de9cce45e22ce90c0,BDO
61ded8c72cdc370007720b61,61ded84073de09000895a5fb,61dd77a459e49a00074aecae,BDO
61e503fa2cdc370007720e42,61e503b073de09000895adf5,61dd77a459e49a00074aecae,BDO
61e50fc22cdc370007720e73,61e50f2773de09000895ae6f,61dd77a459e49a00074aecae,BDO
61e8f4472cdc370007721760,61e8f3d073de09000895c203,61dd77a459e49a00074aecae,BDO
6203522aeaef690007116c54,620351e0841a270008e82e9e,62034f90841a270008e82e46,BDO
6204f88beaef6900071174b5,6204f813841a270008e83932,62034f90841a270008e82e46,BDO
6205fc46eaef6900071178d4,6205fc16841a270008e83d4e,62034f90841a270008e82e46,BDO
62065612eaef690007117c5e,620655a0841a270008e8405b,62034f90841a270008e82e46,BDO
6209fd45eaef690007118153,6209fcfa841a270008e84603,62034f90841a270008e82e46,BDO
620a560aeaef6900071185d5,620a55c9841a270008e84b15,62034f90841a270008e82e46,BDO
620c8b3beaef690007118b18,620c8ae7841a270008e85350,62034f90841a270008e82e46,BDO
620dfe4aeaef690007118f81,620dfe30841a270008e85d3c,62034f90841a270008e82e46,BDO
620f2421eaef690007119428,620f23f8841a270008e8646b,62034f90841a270008e82e46,BDO
6214c074eaef69000711a2d4,6214c022841a270008e87daf,62034f90841a270008e82e46,BDO
621f079b5675100008118715,621f0743fbc978000772079d,62034f90841a270008e82e46,BDO