state,district,block,school
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,966c3be4-c125-467d-aaff-1eb1cd525923,6cf30880-235e-4ee8-a48e-1a7f27009b43
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629666557952038885
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629708532940838981
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629681283072038889
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629600271564838913
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629603337011238901
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630020331110438977
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630262059827238971
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630015941017638919
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630164676608038951
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629944348672038887
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629978042368038927
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629713960960038969
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630065202790438915
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630001174937638893
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630118292684838897
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630307599974438925
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630215293337638949
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629781547417638933
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630285163724838935
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630142499225638891
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629772570624038895
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630321120051238947
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629912854528038979
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630375553433638903
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630374522880038907
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630101868544038873
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630002457804838961
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629824039321638875
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630345686220838957
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629687647436838909
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630271510937638929
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629751785062438973
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629583112601638939
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629579766988838921
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630229227110438931
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630383405465638967
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629785074073638945
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629893927731238877
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630113010483238923
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630148299161638941
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630151975731238883
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630177751859238937
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629831317913638963
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630242738176038959
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629576763801638879
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630217999974438953
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01269934121990553633
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629718067609638905
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630363451392038899
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630389969715238975
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629639389184038987
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629931753472038965
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629713780736038943
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629636656332838983
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629778176409638917
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629727594905638881
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629663864422438871
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629833474867238985
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630349860044838911
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630269294182438955
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629733245747238989